dates,tension,temperature_stream,dH
2015-07-27 23:45:00,1.27901,16.287,-0.015144148401480347
2015-07-28 00:00:00,1.27569,16.28,-0.014908726325003856
2015-07-28 00:15:00,1.27813,16.272,-0.015127163744731194
2015-07-28 00:30:00,1.26886,16.263,-0.014433390507894038
2015-07-28 00:45:00,1.27024,16.255,-0.014568941015089352
2015-07-28 01:00:00,1.27523,16.245,-0.01499368647872221
2015-07-28 01:15:00,1.27241,16.235,-0.014807727426435189
2015-07-28 01:30:00,1.27642,16.228,-0.015145476169637677
2015-07-28 01:45:00,1.26791,16.22,-0.014507676143869138
2015-07-28 02:00:00,1.2636,16.209,-0.014208661384147099
2015-07-28 02:15:00,1.27104,16.199,-0.014824985089009616
2015-07-28 02:30:00,1.26696,16.188,-0.014543955225403046
2015-07-28 02:45:00,1.27447,16.176,-0.015172662876926379
2015-07-28 03:00:00,1.27661,16.165,-0.015378007160441643
2015-07-28 03:15:00,1.26734,16.153,-0.014694599347542981
2015-07-28 03:30:00,1.2665,16.138,-0.014680742498813891
